State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File,Latitude,Longitude,Neighbors,APC_Outlier_Score,LP_Outlier_Score,PDP_Outlier_Score,NNPP_Outlier_Score
BORNO,ABADAM,FOUGUWA,08-01-03-008,NGA'AM PRI. SCH.,82,690,True,-1,False,False,False,False,UNKNOWN,67,0,6,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/22453/result_183252_1677534204_thumb.jpg,13.617475,13.2663518,"ALLA, BULANGILA, FOGUWA , GAWASA I, LARISKI, MINARE, TALLAM, ANGUWAN MODU I, ANGUWAN SULEIMAN I, DUGURI PRI. SCH., G.S.S MALLAM FATORI, KUDOKURGU HEALTH CENTRE, KUDOKURGU  BARRACKS, LIMANTI, MOBBARTI I, AFUNORI PRI. SCH. II, NJARA A, BAZZAM BALLERI II",1.772413793103448,1.0,0.457286432160804,0.18181818181818188
BORNO,ABADAM,FOUGUWA,08-01-03-009,TALLAM,41,477,True,-1,False,False,False,False,UNKNOWN,46,45,12,16,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/22454/result_183253_1677534729_thumb.jpg,13.617475,13.2663518,"ALLA, BULANGILA, FOGUWA , GAWASA I, LARISKI, MINARE, NGA'AM PRI. SCH., ANGUWAN MODU I, ANGUWAN SULEIMAN I, DUGURI PRI. SCH., G.S.S MALLAM FATORI, KUDOKURGU HEALTH CENTRE, KUDOKURGU  BARRACKS, LIMANTI, MOBBARTI I, AFUNORI PRI. SCH. II, NJARA A, BAZZAM BALLERI II",0.8157894736842106,0,0.11917098445595863,40.14285714285714
BORNO,ABADAM,JABULLAM,08-01-04-001,DAYA PRIMARY SCHOOL,86,680,True,-1,False,False,False,False,UNKNOWN,56,0,11,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/22455/result_183255_1677532886_thumb.jpg,13.4860702,13.115193059042747,"JABULLAM EAST, JABULLAM PRI. SCH. I, JABULLAM PRI. SCH. II, YAUMA WANGO",0.04680851063829787,0,0.047619047619047616,0
BORNO,ABADAM,JABULLAM,08-01-04-002,JABULLAM EAST,66,628,True,-1,False,False,False,False,UNKNOWN,52,0,6,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/22456/result_183256_1677535157_thumb.jpg,13.4860702,13.115193059042747,"DAYA PRIMARY SCHOOL, JABULLAM PRI. SCH. I, JABULLAM PRI. SCH. II, YAUMA WANGO",0.1297071129707113,0,0.48936170212765956,0
BORNO,ABADAM,JABULLAM,08-01-04-003,JABULLAM PRI. SCH. I,83,849,True,-1,False,True,False,False,UNKNOWN,70,0,10,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/22457/result_183257_1677534097_thumb.jpg,13.4860702,13.115193059042747,"DAYA PRIMARY SCHOOL, JABULLAM EAST, JABULLAM PRI. SCH. II, YAUMA WANGO",0.2669683257918552,0,0.06976744186046512,0
BORNO,ABADAM,JABULLAM,08-01-04-004,JABULLAM PRI. SCH. II,58,600,True,-1,False,False,False,False,UNKNOWN,47,0,8,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/22458/result_183258_1677534716_thumb.jpg,13.4860702,13.115193059042747,"DAYA PRIMARY SCHOOL, JABULLAM EAST, JABULLAM PRI. SCH. I, YAUMA WANGO",0.22950819672131148,0,0.28888888888888886,0
BORNO,ABADAM,JABULLAM,08-01-04-005,YAUMA WANGO,85,664,True,-1,False,False,False,False,UNKNOWN,66,0,18,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/22459/result_183259_1677533033_thumb.jpg,13.4860702,13.115193059042747,"DAYA PRIMARY SCHOOL, JABULLAM EAST, JABULLAM PRI. SCH. I, JABULLAM PRI. SCH. II",0.17333333333333334,0,1.0571428571428572,0
BORNO,ABADAM,KUDOKURGU,08-01-05-001,ANGUWAN MODU I,41,868,True,-1,False,False,False,False,UNKNOWN,19,0,15,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3244/ward/19188/pu/22470/22470-1677634368.pdf,13.617475,13.2663518,"ALLA, BULANGILA, FOGUWA , GAWASA I, LARISKI, MINARE, NGA'AM PRI. SCH., TALLAM, ANGUWAN SULEIMAN I, DUGURI PRI. SCH., G.S.S MALLAM FATORI, KUDOKURGU HEALTH CENTRE, KUDOKURGU  BARRACKS, LIMANTI, MOBBARTI I, AFUNORI PRI. SCH. II, NJARA A, BAZZAM BALLERI II",0.2919254658385093,1.0,0.4210526315789474,1.0
BORNO,ABADAM,KUDOKURGU,08-01-05-002,ANGUWAN SULEIMAN I,39,978,True,-1,False,False,False,False,UNKNOWN,20,0,14,1,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3244/ward/19188/pu/22471/22471-1677543778.pdf,13.617475,13.2663518,"ALLA, BULANGILA, FOGUWA , GAWASA I, LARISKI, MINARE, NGA'AM PRI. SCH., TALLAM, ANGUWAN MODU I, DUGURI PRI. SCH., G.S.S MALLAM FATORI, KUDOKURGU HEALTH CENTRE, KUDOKURGU  BARRACKS, LIMANTI, MOBBARTI I, AFUNORI PRI. SCH. II, NJARA A, BAZZAM BALLERI II",0.2531120331950208,1.0,0.31937172774869116,0.18181818181818188
BORNO,ABADAM,KUDOKURGU,08-01-05-004,DUGURI PRI. SCH.,21,602,True,-1,False,False,False,False,UNKNOWN,18,0,1,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/22463/result_183264_1677542993_thumb.jpg,13.617475,13.2663518,"ALLA, BULANGILA, FOGUWA , GAWASA I, LARISKI, MINARE, NGA'AM PRI. SCH., TALLAM, ANGUWAN MODU I, ANGUWAN SULEIMAN I, G.S.S MALLAM FATORI, KUDOKURGU HEALTH CENTRE, KUDOKURGU  BARRACKS, LIMANTI, MOBBARTI I, AFUNORI PRI. SCH. II, NJARA A, BAZZAM BALLERI II",0.3305785123966942,1.0,0.9117647058823529,1.0
BORNO,ABADAM,KUDOKURGU,08-01-05-005,G.S.S MALLAM FATORI,61,1017,True,-1,False,False,False,False,UNKNOWN,42,0,16,2,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3244/ward/19188/pu/22474/22474-1677544486.pdf,13.617475,13.2663518,"ALLA, BULANGILA, FOGUWA , GAWASA I, LARISKI, MINARE, NGA'AM PRI. SCH., TALLAM, ANGUWAN MODU I, ANGUWAN SULEIMAN I, DUGURI PRI. SCH., KUDOKURGU HEALTH CENTRE, KUDOKURGU  BARRACKS, LIMANTI, MOBBARTI I, AFUNORI PRI. SCH. II, NJARA A, BAZZAM BALLERI II",0.6434782608695652,1.0,0.5238095238095238,0.7142857142857142
BORNO,ABADAM,KUDOKURGU,08-01-05-006,KUDOKURGU HEALTH CENTRE,28,764,True,-1,False,False,False,False,UNKNOWN,15,0,11,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/22465/result_183266_1677542031_thumb.jpg,13.617475,13.2663518,"ALLA, BULANGILA, FOGUWA , GAWASA I, LARISKI, MINARE, NGA'AM PRI. SCH., TALLAM, ANGUWAN MODU I, ANGUWAN SULEIMAN I, DUGURI PRI. SCH., G.S.S MALLAM FATORI, KUDOKURGU  BARRACKS, LIMANTI, MOBBARTI I, AFUNORI PRI. SCH. II, NJARA A, BAZZAM BALLERI II",0.44558521560574954,1.0,0.020618556701030855,1.0
BORNO,ABADAM,KUDOKURGU,08-01-05-007,KUDOKURGU  BARRACKS,25,701,True,-1,False,True,False,False,UNKNOWN,16,0,4,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/22466/result_183267_1677541144_thumb.jpg,13.617475,13.2663518,"ALLA, BULANGILA, FOGUWA , GAWASA I, LARISKI, MINARE, NGA'AM PRI. SCH., TALLAM, ANGUWAN MODU I, ANGUWAN SULEIMAN I, DUGURI PRI. SCH., G.S.S MALLAM FATORI, KUDOKURGU HEALTH CENTRE, LIMANTI, MOBBARTI I, AFUNORI PRI. SCH. II, NJARA A, BAZZAM BALLERI II",0.4074074074074074,1.0,0.6417910447761194,0.18181818181818188
BORNO,ABADAM,KUDOKURGU,08-01-05-008,"LIMANTI, MOBBARTI I",19,1019,True,-1,False,False,False,False,UNKNOWN,13,0,5,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/22467/result_183268_1677539768_thumb.jpg,13.617475,13.2663518,"ALLA, BULANGILA, FOGUWA , GAWASA I, LARISKI, MINARE, NGA'AM PRI. SCH., TALLAM, ANGUWAN MODU I, ANGUWAN SULEIMAN I, DUGURI PRI. SCH., G.S.S MALLAM FATORI, KUDOKURGU HEALTH CENTRE, KUDOKURGU  BARRACKS, AFUNORI PRI. SCH. II, NJARA A, BAZZAM BALLERI II",0.5079681274900398,1.0,0.5365853658536585,1.0
BORNO,ABADAM,MALLAM FATORI KESSA’A ,08-01-06-001,ANGUWAN DINKIMA,47,592,True,-1,False,False,False,False,UNKNOWN,35,0,11,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3244/ward/19189/pu/22478/22478-1677548967.pdf,13.674595,13.339517,"BUDUMARI, MARKET  WEST I, TUMBUN DAN KATSINA, YASHINNAM",0.5053763440860215,0,1.3157894736842106,0
BORNO,ABADAM,MALLAM FATORI KESSA’A ,08-01-06-002,BUDUMARI,11,583,True,-1,False,False,False,False,UNKNOWN,7,0,4,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/22469/result_183276_1677533336_thumb.jpg,13.674595,13.339517,"ANGUWAN DINKIMA, MARKET  WEST I, TUMBUN DAN KATSINA, YASHINNAM",0.768595041322314,0,0.38461538461538464,0
BORNO,ABADAM,MALLAM FATORI KESSA’A ,08-01-06-007,MARKET  WEST I,9,1052,True,-1,False,False,False,False,UNKNOWN,2,0,1,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/22474/result_183281_1677549960_thumb.jpg,13.674595,13.339517,"ANGUWAN DINKIMA, BUDUMARI, TUMBUN DAN KATSINA, YASHINNAM",0.9365079365079365,0,0.8620689655172413,0
BORNO,ABADAM,MALLAM FATORI KESSA’A ,08-01-06-008,TUMBUN DAN KATSINA,6,334,True,-1,False,False,False,False,UNKNOWN,5,0,1,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/22475/result_183282_1677534938_thumb.jpg,13.674595,13.339517,"ANGUWAN DINKIMA, BUDUMARI, MARKET  WEST I, YASHINNAM",0.8373983739837398,0,0.8620689655172413,0
BORNO,ABADAM,MALLAM FATORI KESSA’A ,08-01-06-009,YASHINNAM,95,978,True,-1,False,False,False,False,UNKNOWN,79,0,13,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/22476/result_183283_1677536461_thumb.jpg,13.674595,13.339517,"ANGUWAN DINKIMA, BUDUMARI, MARKET  WEST I, TUMBUN DAN KATSINA",5.448979591836735,0,2.0588235294117645,0
BORNO,ABADAM,MALLAM KAUNARI,08-01-07-004,AFUNORI PRI. SCH. II,28,533,True,-1,False,True,False,False,UNKNOWN,10,0,2,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3244/ward/19190/pu/22488/22488-1677549135.pdf,13.617475,13.2663518,"ALLA, BULANGILA, FOGUWA , GAWASA I, LARISKI, MINARE, NGA'AM PRI. SCH., TALLAM, ANGUWAN MODU I, ANGUWAN SULEIMAN I, DUGURI PRI. SCH., G.S.S MALLAM FATORI, KUDOKURGU HEALTH CENTRE, KUDOKURGU  BARRACKS, LIMANTI, MOBBARTI I, NJARA A, BAZZAM BALLERI II",0.6341463414634146,1.0,0.8226600985221675,1.0
BORNO,ABADAM,YAU,08-01-08-002,NGAURO,40,587,True,-1,False,True,False,False,UNKNOWN,25,0,8,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3244/ward/19191/pu/22493/22493-1677620951.pdf,13.521983,13.24161323573254,"YAU PRI. SCH. I, YAU PRI. SCH. I, YAU PRI. SCH. I, YAU PRI. SCH. I, YAU PRI. SCH. I",0.06837606837606844,0,0.14893617021276598,1.0
BORNO,ABADAM,YAU,08-01-08-004,YAU PRI. SCH. I,83,750,True,-1,False,False,False,False,UNKNOWN,54,0,21,1,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3244/ward/19191/pu/22495/22495-1677623231.pdf,13.521983,13.24161323573254,"NGAURO, YAU PRI. SCH. I, YAU PRI. SCH. I, YAU PRI. SCH. I, YAU PRI. SCH. I",1.2816901408450703,0,1.290909090909091,2.0000000000000004
BORNO,ABADAM,YAU,08-01-09-002,YAU PRI. SCH. I,83,750,True,-1,False,False,False,False,UNKNOWN,29,0,6,1,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3244/ward/19191/pu/22495/22495-1677623231.pdf,13.521983,13.24161323573254,"NGAURO, YAU PRI. SCH. I, YAU PRI. SCH. I, YAU PRI. SCH. I, YAU PRI. SCH. I",0.2253521126760563,0,0.3454545454545454,2.0000000000000004
BORNO,ABADAM,YAU,08-01-09-003,YAU PRI. SCH. I,83,750,True,-1,False,True,False,False,UNKNOWN,13,0,9,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3244/ward/19191/pu/22495/22495-1677623231.pdf,13.521983,13.24161323573254,"NGAURO, YAU PRI. SCH. I, YAU PRI. SCH. I, YAU PRI. SCH. I, YAU PRI. SCH. I",0.4507042253521127,0,0.01818181818181812,1.0
BORNO,ABADAM,YAU,08-01-09-004,YAU PRI. SCH. I,83,750,True,-1,False,False,False,False,UNKNOWN,12,0,9,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3244/ward/19191/pu/22495/22495-1677623231.pdf,13.521983,13.24161323573254,"NGAURO, YAU PRI. SCH. I, YAU PRI. SCH. I, YAU PRI. SCH. I, YAU PRI. SCH. I",0.49295774647887325,0,0.01818181818181812,1.0
BORNO,ABADAM,YAU,08-01-09-005,YAU PRI. SCH. I,83,750,True,-1,False,False,False,False,UNKNOWN,9,0,2,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3244/ward/19191/pu/22495/22495-1677623231.pdf,13.521983,13.24161323573254,"NGAURO, YAU PRI. SCH. I, YAU PRI. SCH. I, YAU PRI. SCH. I, YAU PRI. SCH. I",0.619718309859155,0,0.7818181818181819,1.0
BORNO,ABADAM,YAWA KURA,08-01-09-006,YAWA KURA I,67,950,True,-1,False,False,False,False,UNKNOWN,44,0,15,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3244/ward/19192/pu/22501/22501-1677540635.pdf,13.6528465,13.2818551,,0,0,0,0
BORNO,ABADAM,YITUWA,08-01-10-005,NJARA A,21,609,True,-1,False,True,False,False,UNKNOWN,34,0,26,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3244/ward/19193/pu/22504/22504-1677625280.pdf,13.617475,13.2663518,"ALLA, BULANGILA, FOGUWA , GAWASA I, LARISKI, MINARE, NGA'AM PRI. SCH., TALLAM, ANGUWAN MODU I, ANGUWAN SULEIMAN I, DUGURI PRI. SCH., G.S.S MALLAM FATORI, KUDOKURGU HEALTH CENTRE, KUDOKURGU  BARRACKS, LIMANTI, MOBBARTI I, AFUNORI PRI. SCH. II, BAZZAM BALLERI II",0.3076923076923077,1.0,1.6145251396648046,1.0
BORNO,ABADAM,YITUWA,08-01-10-006,BAZZAM BALLERI II,47,361,True,-1,False,False,False,False,UNKNOWN,24,0,13,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3244/ward/19193/pu/22507/22507-1677630905.pdf,13.617475,13.2663518,"ALLA, BULANGILA, FOGUWA , GAWASA I, LARISKI, MINARE, NGA'AM PRI. SCH., TALLAM, ANGUWAN MODU I, ANGUWAN SULEIMAN I, DUGURI PRI. SCH., G.S.S MALLAM FATORI, KUDOKURGU HEALTH CENTRE, KUDOKURGU  BARRACKS, LIMANTI, MOBBARTI I, AFUNORI PRI. SCH. II, NJARA A",0.102803738317757,1.0,0.5522388059701493,1.0
BORNO,ASKIRA / UBA,YITUWA,08-02-01-001,BAZZAM BALLERI II,47,361,True,-1,False,False,False,False,UNKNOWN,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3244/ward/19193/pu/22507/22507-1677630905.pdf,10.72515255,13.156518868461916,BAZZAM BALLERI II,1.0,0,1.0,0
BORNO,ASKIRA / UBA,YITUWA,08-02-01-002,BAZZAM BALLERI II,47,361,True,-1,True,True,False,False,UNKNOWN,50,0,58,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3244/ward/19193/pu/22507/22507-1677630905.pdf,10.72515255,13.156518868461916,BAZZAM BALLERI II,1.027027027027027,0,1.4507042253521123,0
BORNO,ASKIRA / UBA,ASKIRA EAST,08-02-01-004,SADIQ ASKIRA I,131,430,True,-1,False,False,False,False,UNKNOWN,65,0,67,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/22500/result_183320_1677616946_thumb.jpg,10.629902,12.963012823177452,"KOFAR LADAN I, KOFAR LADAN II, BULAMA KWAGI  II, BULAMA KWAGI  II, NJOMA PRI. SCH., BELLO GAJERE, YIMIR ALI PRI. SCH",1.1875,1.0,0.10153256704980841,0
BORNO,ASKIRA / UBA,ASKIRA EAST,08-02-01-005,KOFAR LADAN I,135,476,True,-1,False,False,False,False,UNKNOWN,54,1,70,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/22502/result_183322_1677617200_thumb.jpg,10.629902,12.963012823177452,"SADIQ ASKIRA I, KOFAR LADAN II, BULAMA KWAGI  II, BULAMA KWAGI  II, NJOMA PRI. SCH., BELLO GAJERE, YIMIR ALI PRI. SCH",0.726027397260274,0.12499999999999994,0.05587668593448935,0
BORNO,ASKIRA / UBA,ASKIRA EAST,08-02-01-006,KOFAR LADAN II,164,569,True,-1,False,False,False,False,UNKNOWN,36,0,107,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/22503/result_183323_1677617313_thumb.jpg,10.629902,12.963012823177452,"SADIQ ASKIRA I, KOFAR LADAN I, BULAMA KWAGI  II, BULAMA KWAGI  II, NJOMA PRI. SCH., BELLO GAJERE, YIMIR ALI PRI. SCH",0.06329113924050643,1.0,0.5539419087136929,0
BORNO,ASKIRA / UBA,ASKIRA EAST,08-02-01-008,BULAMA KWAGI  II,36,122,True,-1,False,False,False,False,UNKNOWN,6,0,20,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/22505/result_183325_1677617589_thumb.jpg,10.629902,12.963012823177452,"SADIQ ASKIRA I, KOFAR LADAN I, KOFAR LADAN II, BULAMA KWAGI  II, NJOMA PRI. SCH., BELLO GAJERE, YIMIR ALI PRI. SCH",0.8241758241758241,1.0,0.7283531409168081,0
BORNO,ASKIRA / UBA,ASKIRA EAST,08-02-01-009,BULAMA KWAGI  II,36,122,True,-1,False,False,False,False,UNKNOWN,42,0,96,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/22505/result_183325_1677617589_thumb.jpg,10.629902,12.963012823177452,"SADIQ ASKIRA I, KOFAR LADAN I, KOFAR LADAN II, BULAMA KWAGI  II, NJOMA PRI. SCH., BELLO GAJERE, YIMIR ALI PRI. SCH",0.23076923076923078,1.0,0.30390492359932086,0
BORNO,ASKIRA / UBA,ASKIRA EAST,08-02-01-010,NJOMA PRI. SCH.,109,348,True,-1,False,True,False,False,UNKNOWN,21,4,62,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/22507/result_183327_1677617841_thumb.jpg,10.629902,12.963012823177452,"SADIQ ASKIRA I, KOFAR LADAN I, KOFAR LADAN II, BULAMA KWAGI  II, BULAMA KWAGI  II, BELLO GAJERE, YIMIR ALI PRI. SCH",0.4166666666666667,4.6,0.17647058823529418,0
BORNO,ASKIRA / UBA,ASKIRA EAST,08-02-01-011,BELLO GAJERE,101,726,True,-1,False,True,False,False,UNKNOWN,21,4,62,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/22508/result_183328_1677619263_thumb.jpg,10.629902,12.963012823177452,"SADIQ ASKIRA I, KOFAR LADAN I, KOFAR LADAN II, BULAMA KWAGI  II, BULAMA KWAGI  II, NJOMA PRI. SCH., YIMIR ALI PRI. SCH",0.4166666666666667,4.6,0.17647058823529418,0
BORNO,ASKIRA / UBA,ASKIRA EAST,08-02-01-012,YIMIR ALI PRI. SCH,151,764,True,-1,False,False,False,False,UNKNOWN,28,0,105,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/22509/result_183329_1677617965_thumb.jpg,10.629902,12.963012823177452,"SADIQ ASKIRA I, KOFAR LADAN I, KOFAR LADAN II, BULAMA KWAGI  II, BULAMA KWAGI  II, NJOMA PRI. SCH., BELLO GAJERE",0.2,1.0,0.5185950413223142,0
